web-scraper-order,web-scraper-start-url,archetype_link,archetype_link-href,winrate,deck,deck-href,cards
"1665775189-4299","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Klothys, God of Destiny"
"1665775189-4300","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","3
 Metalwork Colossus"
"1665775189-4301","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","3
 Shardless Agent"
"1665775189-4302","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Greater Gargadon"
"1665775189-4303","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Mistvein Borderpost"
"1665775189-4304","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Veinfire Borderpost"
"1665775189-4305","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Wildfield Borderpost"
"1665775189-4306","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Firewild Borderpost"
"1665775189-4307","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Fieldmist Borderpost"
"1665775189-4308","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Force of Negation"
"1665775189-4309","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","3
 Dead/Gone"
"1665775189-4310","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Violent Outburst"
"1665775189-4311","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Restore Balance"
"1665775189-4312","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Blood Moon"
"1665775189-4313","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Ardent Plea"
"1665775189-4314","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Karn, the Great Creator"
"1665775189-4315","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Island"
"1665775189-4316","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Plains"
"1665775189-4317","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Wooded Foothills"
"1665775189-4318","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Mountain"
"1665775189-4319","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","2
 Forest"
"1665775189-4320","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","4
 Prismatic Vista"
"1665775189-4321","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Klothys, God of Destiny"
"1665775189-4322","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Goblin Charbelcher"
"1665775189-4323","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Ugin's Nexus"
"1665775189-4324","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Shardless Agent"
"1665775189-4325","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Metalwork Colossus"
"1665775189-4326","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Ensnaring Bridge"
"1665775189-4327","https://mtgdecks.net/Modern/metagame:last-year","Restore Balance","https://mtgdecks.net/Modern/restore-balance","60%","Four-color Ponza","https://mtgdecks.net/Modern/four-color-ponza-decklist-by-travis-newham-1462630","1
 Pithing Needle"
